sub_industry,industry,sector
Animals Hydrotherapy,Veterinary Services,Professional Services
Animation,Media and Telecommunications,"Technology, Information and Media"
Animation Media,Media and Telecommunications,"Technology, Information and Media"
Animation Software & Services,IT Services and IT Consulting,Professional Services
Anodisers,Fabricated Metal Products,Manufacturing
Antique & Vintage Furniture,Retail Furniture and Home Furnishings,Retail
Antique Dealers,Retail Art Dealers,Retail
Antique Furniture Restoration/repair Services,Repair and Maintenance,Consumer Services
App Development,IT Services and IT Consulting,Professional Services
Apparel,Apparel Manufacturing,Manufacturing
Apparel & Fashion,Retail Apparel and Fashion,Retail
Appliance Repair Services,Repair and Maintenance,Consumer Services
Apps,IT Services and IT Consulting,Professional Services
Aquaculture,Ranching and Fisheries,"Farming, Ranching, Forestry"
Aquarium & Vivarium Tank & Accessory Manufacturers,Plastics and Rubber Product Manufacturing,Manufacturing
Aquariums - Public,"Museums, Historical Sites, and Zoos",Entertainment Providers
Aquatic Equipment And Accessories Store,Retail Building Materials and Garden Equipment,Retail
Arbitrators,Legal Services,Professional Services
Arboriculture,Farming,"Farming, Ranching, Forestry"
Arcade Games Amusement,Recreational Facilities,Entertainment Providers
Archaeology,Research Services,Professional Services
Architectural Engineering,Engineering Services,Professional Services
Architectural Ironmongers,Fabricated Metal Products,Manufacturing
Architectural Salvage,Retail Building Materials and Garden Equipment,Retail
Architectural Services,Architecture and Planning,Professional Services
Architectural Technologists,Architecture and Planning,Professional Services
Architectural Woodwork,Wood Product Manufacturing,Manufacturing
Archivists,"Museums, Historical Sites, and Zoos",Entertainment Providers
Argentinian Restaurants,Food and Beverage Services,Accommodation Services
Army Surplus Stores,Retail Apparel and Fashion,Retail
Aromatherapy,Health and Human Services,Government Administration
Art & Craft Materials,Retail Art Supplies,Retail
Art Galleries & Fine Art Dealers,Retail Art Dealers,Retail
Art Of Hosting,Events Services,Administrative and Support Services
Art Restoration & Picture Cleaning,Repair and Maintenance,Consumer Services
Art Supplies,Retail Art Supplies,Retail
Articulated Vehicles,Transportation Equipment Manufacturing,Manufacturing
Artificial Grass Suppliers,Retail Building Materials and Garden Equipment,Retail
Artificial Intelligence,IT Services and IT Consulting,Professional Services
Artisan Foods,Food and Beverage Manufacturing,Manufacturing
Artists & Illustrators,Artists and Writers,Entertainment Providers
Arts & Crafts,Retail Art Supplies,Retail
Arts & Culture,"Museums, Historical Sites, and Zoos",Entertainment Providers
Arts & Entertainment,Performing Arts and Spectator Sports,Entertainment Providers
Arts Centre,Performing Arts and Spectator Sports,Entertainment Providers
Artwork,Retail Art Dealers,Retail
Asbestos Air Monitoring,Engineering Services,Professional Services
Asbestos Awareness Training,Professional Training and Coaching,Education
Asbestos Risk Management,Environmental Quality Programs,Government Administration
Asbestos Surveys & Removal,Engineering Services,Professional Services
Asbestos Surveys Management,Engineering Services,Professional Services
Asphalt And Macadam Suppliers,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Atms,Credit Intermediation,Financial Services
Attic & Roof Insulation Contractors,Building Construction,Construction
Attractions,Recreational Facilities,Entertainment Providers
Atv (all Terrain Motorcycle) Quad Bike,Transportation Equipment Manufacturing,Manufacturing
Auctioneer,Retail Recyclable Materials & Used Merchandise,Retail
Auctioneers & Valuers,Retail Recyclable Materials & Used Merchandise,Retail
Audio Visual Equipment & Accessories Supplies,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Audio Visual Production Services,Media and Telecommunications,"Technology, Information and Media"
Audit,Accounting,Professional Services
Audits,Accounting,Professional Services
Auto Electricians/auto Electrical Services,Repair and Maintenance,Consumer Services
Auto Locksmiths,Repair and Maintenance,Consumer Services
Auto Parts & Supplies,Wholesale Motor Vehicles and Parts,Wholesale
Autogas Suppliers & Installers,Oil and Gas,"Oil, Gas, and Mining"
Automated Storage & Retreval Systems,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Automatic Gate System Manufacturers,Machinery Manufacturing,Manufacturing
Automation,Machinery Manufacturing,Manufacturing
Automation Systems & Equipment,Machinery Manufacturing,Manufacturing
Automobile,Transportation Equipment Manufacturing,Manufacturing
Automobile Engine Parts & Component Manufacturers,Transportation Equipment Manufacturing,Manufacturing
Automotive,Transportation Equipment Manufacturing,Manufacturing
Automotive & Motor Retail,Retail Motor Vehicles,Retail
Automotive Components,Transportation Equipment Manufacturing,Manufacturing
Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Aviation Engineers,Engineering Services,Professional Services
Aviation Security,Security and Investigations,Administrative and Support Services
Aviation Supplies,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Axle Supplies & Services,Transportation Equipment Manufacturing,Manufacturing
B2b,Business Consulting and Services,Professional Services
B2c,Online and Mail Order Retail,Retail
Baby & Nursery Equipment,Retail Furniture and Home Furnishings,Retail
Baby Clothing,Apparel Manufacturing,Manufacturing
Baby Food,Food and Beverage Manufacturing,Manufacturing
Baby Shower Services,Events Services,Administrative and Support Services
Baby Sitters,Personal and Laundry Services,Consumer Services
Bacon & Ham Curers & Merchants/dealers,Food and Beverage Manufacturing,Manufacturing
Badges & Emblems,Apparel Manufacturing,Manufacturing
Bagels,Food and Beverage Services,Accommodation Services
"Bags, Belts & Accessories - Manufacturers & Suppliers",Apparel Manufacturing,Manufacturing
Bailiffs,Legal Services,Professional Services
Bakery & Confectionery Supplies,Wholesale Food and Beverage,Wholesale
Baking Training,Professional Training and Coaching,Education
Ballet/danceschools,Technical and Vocational Training,Education
Balloons - Hot Air,Recreational Facilities,Entertainment Providers
Bankruptcy,Legal Services,Professional Services
Banks & Financial Institutions,Credit Intermediation,Financial Services
Bar Code Products & Services,IT Services and IT Consulting,Professional Services
Bar Design,Architecture and Planning,Professional Services
Bar Equipment & Accessories,Machinery Manufacturing,Manufacturing
Bar Fitters,Repair and Maintenance,Consumer Services
Bar Operations,Food and Beverage Services,Accommodation Services
Barber/hairstylist,Personal and Laundry Services,Consumer Services
Barge Charter,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Barristers,Legal Services,Professional Services
Bars,Food and Beverage Services,Accommodation Services
Base Operations Support,Military and International Affairs,Government Administration
Basement & Cellar Conversions,Building Construction,Construction
"Bathroom Design, Installation & Supply",Building Construction,Construction
Bathroom Equipment & Fittings,Retail Building Materials and Garden Equipment,Retail
Bathroom Fixtures - Manufacturers,Furniture and Home Furnishings Manufacturing,Manufacturing
Bathroom Planners & Furnishers,Retail Furniture and Home Furnishings,Retail
"Battery Cell, Batteries Manufacturer & Suppliers","Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Bbq Equipment & Supplies,Retail Building Materials and Garden Equipment,Retail
Beads & Bead,Apparel Manufacturing,Manufacturing
Bearing Manufacturers,Machinery Manufacturing,Manufacturing
Bearings Stockists,Wholesale Machinery,Wholesale
Beauty & Spas,Personal and Laundry Services,Consumer Services
Beauty Consultants & Specialists,Personal and Laundry Services,Consumer Services
Beauty Products,Retail Health and Personal Care Products,Retail
"Beauty Schools, Professional Makeup Academy",Technical and Vocational Training,Education
Bed & Breakfast,Hospitality,Accommodation Services
Bed & Mattress Manufacturers,Furniture and Home Furnishings Manufacturing,Manufacturing
Bedroom Furniture,Furniture and Home Furnishings Manufacturing,Manufacturing
Bedroom Planners & Furnishers,Furniture and Home Furnishings Manufacturing,Manufacturing
"Beds, Bedding & Blankets",Retail Furniture and Home Furnishings,Retail
Beer,Food and Beverage Manufacturing,Manufacturing
Beer Tank Solutions,Food and Beverage Manufacturing,Manufacturing
Behavioral Consulting,Business Consulting and Services,Professional Services
Belting Manufacturers,Leather Product Manufacturing,Manufacturing
Beverage Brands & Snack Brands,Food and Beverage Manufacturing,Manufacturing
"Bicycle Manufacturers, Accessories & Wholesalers",Sporting Goods Manufacturing,Manufacturing
Big Data Analytics,IT Services and IT Consulting,Professional Services
Bin Stores,Retail Building Materials and Garden Equipment,Retail
Binoculars & Telescopes,Computers and Electronics Manufacturing,Manufacturing
Biodegradable Packaging,Paper and Forest Product Manufacturing,Manufacturing
Biodiversity Conservation,Environmental Quality Programs,Government Administration
Biologistic Solutions,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Biopharm,Chemical Manufacturing,Manufacturing
Biotechnology,Research Services,Professional Services
"Births, Marriages & Deaths",Administration of Justice,Government Administration
Blacksmiths & Forgemasters,Fabricated Metal Products,Manufacturing
Blast Cleaning,Personal and Laundry Services,Consumer Services
Blast Cleaning Equipment,Machinery Manufacturing,Manufacturing
Blind Delivery Solutions,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
"Blinds, Awnings & Canopies",Furniture and Home Furnishings Manufacturing,Manufacturing
Blood Pressure,Medical Practices,Hospitals and Health Care
Blood Services,Health and Human Services,Government Administration
Blood Stock Agents,Ranching and Fisheries,"Farming, Ranching, Forestry"
Boarding Kennels & Catteries,Veterinary Services,Professional Services
Boat Cleaning Services,Personal and Laundry Services,Consumer Services
Boat Equipment,Transportation Equipment Manufacturing,Manufacturing
Boat Trips & Hire/rental Service,Travel Arrangements,Administrative and Support Services
Boatbuilders & Repairs,Transportation Equipment Manufacturing,Manufacturing
Bodystructure Stampings,Fabricated Metal Products,Manufacturing
Boiler Manufacturers,Machinery Manufacturing,Manufacturing
"Boilers - Servicing, Replacements & Repairs",Repair and Maintenance,Consumer Services
Boiling Filter Taps,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Bonded Warehousing,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Book Publishers,Printing Services,Manufacturing
Bookbinding & Equipment,Machinery Manufacturing,Manufacturing
Bookkeeping Services,Accounting,Professional Services
Books Mags Music & Video,Retail Books and Printed News,Retail
Bookseller,Retail Books and Printed News,Retail
Botox Treatment,Medical Practices,Hospitals and Health Care
Bottle Manufacturers & Suppliers,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Bottled Water Coolers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Bottling Machinery & Equipment,Machinery Manufacturing,Manufacturing
Bouncy Castles & Inflatables Hire,Recreational Facilities,Entertainment Providers
Bovine Reproduction,Ranching and Fisheries,"Farming, Ranching, Forestry"
Bowling Alleys,Recreational Facilities,Entertainment Providers
Boxes & Cartons,Paper and Forest Product Manufacturing,Manufacturing
Brake & Clutch Manufacturers,Transportation Equipment Manufacturing,Manufacturing
Brake & Clutch Service Centres,Repair and Maintenance,Consumer Services
Brand Building,Advertising Services,Professional Services
Brand Development,Advertising Services,Professional Services
Brand Management,Advertising Services,Professional Services
Brand Marketing & Production,Advertising Services,Professional Services
Brand Strategy,Advertising Services,Professional Services
Branding,Advertising Services,Professional Services
Brass & Copper Manufacturers & Suppliers,Primary Metal Manufacturing,Manufacturing
Brassware Manufacturers,Fabricated Metal Products,Manufacturing
Brazilian Restaurants,Food and Beverage Services,Accommodation Services
Breakdown & Recovery Services,Repair and Maintenance,Consumer Services
Breakroom Services,Food and Beverage Retail,Retail
Breast Clinic,Medical Practices,Hospitals and Health Care
Breeders & Dealers,Ranching and Fisheries,"Farming, Ranching, Forestry"
Breweries,Food and Beverage Manufacturing,Manufacturing
Brewery Technical Services,Engineering Services,Professional Services
Brewery Tours,Hospitality,Accommodation Services
Brick Block Haulage,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Brick Manufacturers & Oem Manufacturers,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Brick Merchants,Wholesale Building Materials,Wholesale
Bricklaying,Specialty Trade Contractors,Construction
Bridal Shops,Retail Apparel and Fashion,Retail
Broadband Services,Media and Telecommunications,"Technology, Information and Media"
Broadcasting Services,Media and Telecommunications,"Technology, Information and Media"
Brokerage Services,Capital Markets,Financial Services
Brownfield Remediation,Environmental Quality Programs,Government Administration
Brush Manufacturers,Plastics and Rubber Product Manufacturing,Manufacturing
Budget Management,Accounting,Professional Services
Buffet,Food and Beverage Services,Accommodation Services
"Builders Merchants, Floor Carpet, Spaces Carpets Manufacturers & Suppliers",Wholesale Building Materials,Wholesale
Builders/construction Firm,Building Construction,Construction
Building & Extension Plans,Architecture and Planning,Professional Services
"Building Blocks Suppliers, Distributors And Manufacturers",Wholesale Building Materials,Wholesale
Building Consultants,Engineering Services,Professional Services
Building Information Modeling (bim) Services,Architecture and Planning,Professional Services
Building Materials Suppliers,Wholesale Building Materials,Wholesale
Building Refurbishment And Renovation Contractors,Building Construction,Construction
Building Services,Facilities Services,Administrative and Support Services
Building Societies & Other Financial Institutions,Credit Intermediation,Financial Services
Building Supplies,Wholesale Building Materials,Wholesale
Buildings - Sectional And Portable,Building Construction,Construction
Built Environment,Architecture and Planning,Professional Services
Builtin & Fitted Sliding Door Wardrobes,Furniture and Home Furnishings Manufacturing,Manufacturing
Bulb Growers & Suppliers,Farming,"Farming, Ranching, Forestry"
Bulk Haulage,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Bulk Ingredients,Food and Beverage Manufacturing,Manufacturing
Bulk Powder Transport,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Bullion Dealers,Capital Markets,Financial Services
Bungee Jumping,Recreational Facilities,Entertainment Providers
Burglar And Intruder Alarm Systems/security System Suppliers,Security and Investigations,Administrative and Support Services
Bus & Coach Operators & Stations,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Business & Sales Development,Business Consulting and Services,Professional Services
Business & Trade Organisations,Civic and Social Organizations,Consumer Services
Business Advisory,Business Consulting and Services,Professional Services
Business Anaysis,Business Consulting and Services,Professional Services
"Business Broker, Transfer Agent",Business Consulting and Services,Professional Services
Business Centres,Real Estate,Real Estate and Equipment Rental Services
Business Development,Business Consulting and Services,Professional Services
Business Energy Comparison,Business Consulting and Services,Professional Services
Business Enterprise Agencies,Business Consulting and Services,Professional Services
Business Improvement,Business Consulting and Services,Professional Services
Business Information Services,Business Consulting and Services,Professional Services
Business Intelligence,Business Consulting and Services,Professional Services
Business Internet,"Technology, Information and Internet","Technology, Information and Media"
Business Management Consultants,Business Consulting and Services,Professional Services
Business Planning,Business Consulting and Services,Professional Services
Business Rescue,Legal Services,Professional Services
Business Services,Business Consulting and Services,Professional Services
Business Support,Business Consulting and Services,Professional Services
Business Travel,Travel Arrangements,Administrative and Support Services
Butcher,Food and Beverage Retail,Retail
Butchers Equipment & Supplies,Wholesale Machinery,Wholesale
Cabinet Makers,Furniture and Home Furnishings Manufacturing,Manufacturing
Cable & Wire Equipment Manufacturers,Machinery Manufacturing,Manufacturing
Cable & Wire Suppliers,Wholesale Computer Equipment,Wholesale
Cable Seals,Machinery Manufacturing,Manufacturing
"Cafes, Snack Bars & Tea Rooms",Food and Beverage Services,Accommodation Services
Calendar Management Specialists,Office Administration,Administrative and Support Services
Call Centre,Telephone Call Centers,Administrative and Support Services
Calligraphers,Artists and Writers,Entertainment Providers
Camera And Photographic Supply Stores,Wholesale Photography Equipment and Supplies,Wholesale
Campaign Management,Advertising Services,Professional Services
Camping Equipment & Supplies,Sporting Goods Manufacturing,Manufacturing
Camping Sites,Recreational Facilities,Entertainment Providers
Can Manufacturers,Fabricated Metal Products,Manufacturing
Canape Receptions,Food and Beverage Services,Accommodation Services
Canapes,Food and Beverage Manufacturing,Manufacturing
Candle Manufacturers & Suppliers,Wholesale Import and Export,Wholesale
Candy Stores,Food and Beverage Retail,Retail
Cane Goods & Basketware,Furniture and Home Furnishings Manufacturing,Manufacturing
Canine Hydrotherapy Courses,Veterinary Services,Professional Services
Canine Osteoarthritis,Veterinary Services,Professional Services
Canvas Goods,Textile Manufacturing,Manufacturing
Canvas Printing,Printing Services,Manufacturing
Car & Truck Fleet Leasing & Management,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Car & Truck Leasing & Contract Hire,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Car Accessories - Manufacturers & Suppliers,Transportation Equipment Manufacturing,Manufacturing
Car Auctions,Retail Motor Vehicles,Retail
Car Audio & Entertainment Systems,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Car Body Repairs,Repair and Maintenance,Consumer Services
"Car Breakdown & Recovery Services, Towing Services",Repair and Maintenance,Consumer Services
Car Breakers & Dismantlers,Wholesale Recyclable Materials,Wholesale
Car Buyers,Retail Motor Vehicles,Retail
Car Components & Parts Manufacturers,Transportation Equipment Manufacturing,Manufacturing
Car Credit & Finance,Credit Intermediation,Financial Services
Car Customisation & Conversion Specialists,Repair and Maintenance,Consumer Services
Car Dealers,Retail Motor Vehicles,Retail
Car Disposal,Retail Recyclable Materials & Used Merchandise,Retail
Car Electrics & Truck Electrics,Repair and Maintenance,Consumer Services
Car Engine Tuning & Diagnostic Services,Repair and Maintenance,Consumer Services
Car Hire - Chauffeur Driven,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Car Manufacturers,Transportation Equipment Manufacturing,Manufacturing
"Car Paint, Lacquer Manufacturers & Suppliers",Chemical Manufacturing,Manufacturing
Car Painters & Sprayers,Repair and Maintenance,Consumer Services
Car Parking & Garaging,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Car Parts,Wholesale Motor Vehicles and Parts,Wholesale
Car Radiator Servicing & Repairs,Repair and Maintenance,Consumer Services
Car Rental,Travel Arrangements,Administrative and Support Services
Car Sales,Retail Motor Vehicles,Retail
Car Shipping,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Car Supermarkets,Retail Motor Vehicles,Retail
Car Transportation,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Car Trimmers & Upholsterers,Repair and Maintenance,Consumer Services
Car Valeting,Personal and Laundry Services,Consumer Services
Car Washing & Polishing Equipment & Supplies,Repair and Maintenance,Consumer Services
Car Window Tinting,Repair and Maintenance,Consumer Services
Caravan & Recreational Vehicle Rental Agencies,Travel Arrangements,Administrative and Support Services
Caravan Accessories & Supplies,Retail Apparel and Fashion,Retail
Caravan Dealers & Manufacturers,Retail Motor Vehicles,Retail
Caravan Transport & Towing Services,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Caravan/rv Parks,Recreational Facilities,Entertainment Providers
Caravans - Servicing & Repairs,Repair and Maintenance,Consumer Services
Carbon Capture,Environmental Quality Programs,Government Administration
Carbon Footprinting,Environmental Quality Programs,Government Administration
Carbon Products,Chemical Manufacturing,Manufacturing
Carbon Sequestration,Environmental Quality Programs,Government Administration
Carbonated Soft Drinks,Food and Beverage Manufacturing,Manufacturing
Card & Poster Shops,Retail Office Supplies and Gifts,Retail
Cardiology,Medical Practices,Hospitals and Health Care
Cards,Retail Office Supplies and Gifts,Retail
Care Staff Agencies,Staffing and Recruiting,Administrative and Support Services
Careers & Veterinary,Veterinary Services,Professional Services
Careers Advice,Professional Training and Coaching,Education
Carers & Home Help Services,Personal and Laundry Services,Consumer Services
Cargo,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Cargo Handling,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Caribbean Restaurants,Food and Beverage Services,Accommodation Services
Carpenters & Joiners,Specialty Trade Contractors,Construction
Carpet & Fabric Proofing,Textile Manufacturing,Manufacturing
Carpet Cleaning,Personal and Laundry Services,Consumer Services
Carpet Fitting Equipment & Supplies,Retail Building Materials and Garden Equipment,Retail
Carpet Planning & Fitting,Retail Furniture and Home Furnishings,Retail
"Carpet, Curtain & Upholstery Cleaners",Personal and Laundry Services,Consumer Services
Carpets & Rugs Persian,Retail Furniture and Home Furnishings,Retail
Carport Or Shelter,Building Construction,Construction
Cars,Retail Motor Vehicles,Retail
Case Manufacturers,Leather Product Manufacturing,Manufacturing
Cash & Carry Wholesale,Wholesale Food and Beverage,Wholesale
Cat Grooming,Personal and Laundry Services,Consumer Services
Catalogue Showrooms,Online and Mail Order Retail,Retail
Category Management,Business Consulting and Services,Professional Services
Catering,Food and Beverage Services,Accommodation Services
Catering & Contract Catering,Food and Beverage Services,Accommodation Services
Catering & Hospitality Services,Food and Beverage Services,Accommodation Services
Catering & Hotel Management Schools,Professional Training and Coaching,Education
Catering Equipment,Machinery Manufacturing,Manufacturing
Catering Equipment - Hire/rental,Equipment Rental Services,Real Estate and Equipment Rental Services
Catering Equipment - Servicing & Repairs,Repair and Maintenance,Consumer Services
Catering Equipment Wholesaler & Suppliers,Wholesale Food and Beverage,Wholesale
CD & DVD Duplication Services,Computers and Electronics Manufacturing,Manufacturing
CDs DVDs Vinyl & Tapes,Computers and Electronics Manufacturing,Manufacturing
Ceiling Contractor,Specialty Trade Contractors,Construction
Cement Manufacturers & Distributors,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Cemeteries & Crematoria,Civic and Social Organizations,Consumer Services
Central Government,Public Policy Offices,Government Administration
Central Heating - Installation & Servicing,Repair and Maintenance,Consumer Services
Central Heating Supplies & Equipment,"Wholesale Hardware, Plumbing, Heating Equipment",Wholesale
Centre Hi Fi,"Retail Appliances, Electrical, and Electronic Equipment",Retail
"Ceramic Manufacturers, Supplies & Services","Glass, Ceramics and Concrete Manufacturing",Manufacturing
Chain Manufacturers & Distributors,Fabricated Metal Products,Manufacturing
Chainsaws,Retail Building Materials and Garden Equipment,Retail
Chair Covers,Retail Furniture and Home Furnishings,Retail
Chambers Of Commerce,Civic and Social Organizations,Consumer Services
Chandlers,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Channel Crossing Services,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Charcoal Suppliers,Wholesale Metals and Minerals,Wholesale
Charities,Non-profit Organizations,Consumer Services
"Charity Shop, Thrift Shop Or Thrift Store Or Opportunity Shop",Retail Health and Personal Care Products,Retail
Chartering & Commercial Management,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage"
Chatlines,Media and Telecommunications,"Technology, Information and Media"
Check-cashing Services,Credit Intermediation,Financial Services
Cheerleading Supplies,Sporting Goods Manufacturing,Manufacturing
Cheese Makers & Suppliers,Food and Beverage Manufacturing,Manufacturing
Chemical Engineers,Engineering Services,Professional Services
Chemical Manufacturers,Chemical Manufacturing,Manufacturing
Chemical Plant & Equipment,Machinery Manufacturing,Manufacturing
Chemical Waste Disposal & Recycling,Environmental Quality Programs,Government Administration
Chemicals - Distributors & Wholesalers,Wholesale Chemical and Allied Products,Wholesale
